#ice dated horizons for WDC. From WAIS WD2014 Chronology. https://doi.pangaea.de/10.1594/PANGAEA.902577		
#depth (m) 	Cal age [a BP] (ice age)	Cal age std e
0.36	-56	0
0.767	-55	1
1.156	-54	1
1.701	-53	1
2.162	-52	1
2.576	-51	1
3.109	-50	1
3.581	-49	1
4.037	-48	1
4.444	-47	1
4.823	-46	1
5.135	-45	1
5.581	-44	1
6.136	-43	1
6.655	-42	0
7.111	-41	1
7.428	-40	1
7.786	-39	1
8.238	-38	1
8.571	-37	1
8.864	-36	1
9.293	-35	1
9.758	-34	1
10.102	-33	1
10.464	-32	1
10.883	-31	1
11.359	-30	1
11.733	-29	1
11.961	-28	1
12.349	-27	1
12.681	-26	1
12.999	-25	1
13.242	-24	1
13.561	-23	1
14.033	-22	1
14.308	-21	1
14.68	-20	1
14.969	-19	1
15.389	-18	1
15.692	-17	1
15.966	-16	1
16.302	-15	1
16.661	-14	0
17.01	-13	1
17.324	-12	1
17.558	-11	1
17.997	-10	1
18.272	-9	1
18.574	-8	1
18.952	-7	1
19.282	-6	1
19.527	-5	1
19.821	-4	1
20.203	-3	1
20.524	-2	1
20.949	-1	1
21.236	0	1
21.578	1	1
21.853	2	1
22.213	3	1
22.458	4	1
22.842	5	1
23.147	6	1
23.396	7	1
23.826	8	1
24.061	9	1
24.426	10	1
24.839	11	1
25.127	12	1
25.451	13	1
25.727	14	1
26.058	15	1
26.406	16	1
26.627	17	1
27.076	18	1
27.355	19	1
27.679	20	1
28	21	1
28.264	22	1
28.572	23	1
28.851	24	1
29.069	25	1
29.306	26	1
29.695	27	1
29.931	28	1
30.202	29	1
30.663	30	1
30.95	31	1
31.308	32	1
31.601	33	1
31.861	34	1
32.102	35	1
32.424	36	1
32.708	37	1
33.013	38	1
33.298	39	1
33.518	40	1
33.807	41	1
34.099	42	1
34.317	43	1
34.487	44	1
34.737	45	1
35.143	46	1
35.481	47	1
35.786	48	1
36.141	49	1
36.462	50	1
36.731	51	1
37.068	52	1
37.285	53	1
37.679	54	1
37.914	55	1
38.13	56	1
38.43	57	1
38.771	58	1
39.03	59	1
39.298	60	1
39.666	61	1
39.969	62	1
40.31	63	1
40.51	64	1
40.707	65	1
40.969	66	0
41.21	67	1
41.585	68	1
41.805	69	1
42.09	70	1
42.522	71	1
42.841	72	1
43.124	73	1
43.422	74	1
43.804	75	1
44.005	76	1
44.272	77	1
44.495	78	1
44.676	79	1
44.887	80	1
45.168	81	1
45.411	82	1
45.732	83	1
45.937	84	1
46.306	85	1
46.508	86	1
46.765	87	1
46.952	88	1
47.278	89	1
47.531	90	1
47.758	91	1
47.959	92	1
48.118	93	1
48.317	94	1
48.727	95	1
48.99	96	1
49.239	97	1
49.568	98	1
49.827	99	1
50.039	100	1
50.347	101	1
50.752	102	1
50.967	103	1
51.18	104	1
51.447	105	1
51.703	106	1
51.981	107	1
52.248	108	1
52.578	109	1
52.809	110	1
53.004	111	1
53.265	112	1
53.488	113	1
53.752	114	1
54.019	115	1
54.231	116	1
54.557	117	1
54.75	118	1
55.052	119	1
55.402	120	1
55.619	121	1
55.861	122	1
56.162	123	1
56.378	124	1
56.693	125	1
57.062	126	1
57.274	127	1
57.511	128	1
57.809	129	1
58.071	130	1
58.321	131	1
58.506	132	1
58.761	133	1
59.015	134	0
59.346	135	1
59.566	136	1
59.793	137	1
60.07	138	1
60.339	139	1
60.59	140	1
60.828	141	1
61.061	142	1
61.315	143	1
61.536	144	1
61.766	145	1
62.008	146	1
62.233	147	1
62.506	148	1
62.75	149	1
62.995	150	1
63.204	151	1
63.388	152	1
63.625	153	1
63.87	154	1
64.201	155	1
64.384	156	1
64.617	157	1
64.888	158	1
65.204	159	1
65.488	160	1
65.747	161	1
65.954	162	1
66.195	163	1
66.523	164	1
66.764	165	1
67.046	166	1
67.345	167	1
67.599	168	1
67.821	169	1
68.078	170	1
68.261	171	1
68.497	172	1
68.705	173	1
68.964	174	1
69.254	175	1
69.568	176	1
69.864	177	1
70.043	178	1
70.29	179	1
70.528	180	1
70.819	181	1
71.033	182	1
71.235	183	1
71.509	184	1
71.786	185	1
72.001	186	1
72.278	187	1
72.53	188	1
72.81	189	1
73.079	190	1
73.3	191	1
73.521	192	1
73.708	193	1
73.942	194	1
74.14	195	1
74.33	196	1
74.584	197	1
74.838	198	1
75.092	199	1
75.349	200	1
75.599	201	1
75.807	202	1
76.003	203	1
76.212	204	1
76.445	205	1
76.64	206	1
76.822	207	1
77.041	208	1
77.266	209	1
77.481	210	1
77.683	211	1
77.951	212	1
78.195	213	1
78.457	214	1
78.748	215	1
78.982	216	1
79.183	217	1
79.403	218	1
79.714	219	1
79.911	220	1
80.158	221	1
80.484	222	1
80.698	223	1
80.94	224	1
81.114	225	1
81.363	226	1
81.542	227	1
81.818	228	1
82.072	229	1
82.271	230	1
82.494	231	1
82.785	232	1
83.007	233	1
83.199	234	1
83.447	235	1
83.626	236	1
83.845	237	1
84.142	238	1
84.356	239	1
84.597	240	1
84.855	241	1
85.033	242	1
85.333	243	1
85.494	244	1
85.688	245	1
85.958	246	1
86.215	247	1
86.484	248	1
86.725	249	1
86.904	250	1
87.107	251	1
87.335	252	1
87.554	253	1
87.79	254	1
88.021	255	1
88.334	256	1
88.565	257	1
88.763	258	1
89.019	259	1
89.25	260	1
89.493	261	1
89.679	262	1
89.9	263	1
90.094	264	1
90.337	265	1
90.6	266	1
90.822	267	1
91.03	268	1
91.248	269	1
91.386	270	1
91.623	271	1
91.817	272	1
92.075	273	1
92.302	274	1
92.516	275	1
92.745	276	1
92.954	277	1
93.212	278	1
93.364	279	1
93.613	280	1
93.846	281	1
94.103	282	1
94.312	283	1
94.558	284	1
94.768	285	1
95.058	286	1
95.245	287	1
95.484	288	1
95.745	289	1
96.1	290	1
96.346	291	1
96.53	292	1
96.808	293	1
97.058	294	1
97.235	295	1
97.493	296	1
97.844	297	1
98.11	298	1
98.322	299	1
98.588	300	1
98.812	301	1
99.154	302	1
99.421	303	1
99.684	304	1
99.931	305	1
100.159	306	1
100.36	307	1
100.558	308	1
100.77	309	1
101.009	310	1
101.265	311	1
101.468	312	1
101.672	313	1
101.951	314	1
102.253	315	1
102.465	316	1
102.714	317	1
103.03	318	1
103.227	319	1
103.437	320	1
103.605	321	1
103.863	322	1
104.12	323	1
104.333	324	1
104.594	325	1
104.833	326	1
105.018	327	1
105.273	328	1
105.55	329	1
105.831	330	1
106.067	331	1
106.298	332	1
106.491	333	1
106.745	334	1
106.973	335	1
107.253	336	1
107.458	337	1
107.722	338	1
107.938	339	1
108.177	340	1
108.485	341	1
108.683	342	1
108.865	343	1
109.041	344	1
109.331	345	1
109.599	346	1
109.827	347	1
110.031	348	1
110.235	349	1
110.438	350	1
110.679	351	1
110.893	352	1
111.096	353	1
111.387	354	1
111.665	355	1
111.961	356	1
112.14	357	1
112.418	358	1
112.742	359	1
112.991	360	1
113.224	361	1
113.44	362	1
113.709	363	1
113.935	364	1
114.235	365	1
114.528	366	1
114.769	367	1
114.921	368	1
115.119	369	1
115.33	370	1
115.537	371	1
115.785	372	1
116.011	373	1
116.181	374	1
116.372	375	1
116.601	376	1
116.904	377	1
117.187	378	1
117.361	379	1
117.579	380	1
117.815	381	1
118.11	382	1
118.284	383	1
118.508	384	1
118.848	385	1
119.033	386	1
119.168	387	1
119.409	388	1
119.693	389	1
119.913	390	1
120.155	391	1
120.381	392	1
120.672	393	1
120.899	394	1
121.083	395	1
121.338	396	1
121.587	397	1
121.849	398	1
122.068	399	1
122.359	400	1
122.586	401	2
122.848	402	2
123.095	403	2
123.28	404	2
123.5	405	2
123.725	406	2
123.987	407	2
124.219	408	2
124.427	409	2
124.632	410	2
124.875	411	2
125.106	412	2
125.353	413	2
125.646	414	2
125.947	415	2
126.14	416	2
126.368	417	2
126.584	418	2
126.815	419	2
127.018	420	2
127.276	421	2
127.469	422	2
127.692	423	2
127.962	424	2
128.159	425	2
128.348	426	2
128.618	427	2
128.83	428	2
129.05	429	2
129.295	430	2
129.507	431	2
129.812	432	2
130.013	433	2
130.201	434	2
130.44	435	2
130.695	436	2
130.897	437	2
131.09	438	2
131.325	439	2
131.563	440	2
131.787	441	2
132.003	442	2
132.243	443	2
132.417	444	2
132.571	445	2
132.729	446	2
133.014	447	2
133.258	448	2
133.432	449	2
133.64	450	2
133.898	451	2
134.087	452	2
134.341	453	2
134.588	454	2
134.78	455	2
135.027	456	2
135.269	457	2
135.489	458	2
135.763	459	2
135.975	460	2
136.252	461	2
136.557	462	2
136.793	463	2
137.144	464	2
137.398	465	2
137.606	466	2
137.803	467	2
138.119	468	2
138.383	469	2
138.611	470	2
138.846	471	2
139.046	472	2
139.227	473	2
139.439	474	2
139.577	475	2
139.739	476	2
139.962	477	2
140.151	478	2
140.351	479	2
140.567	480	2
140.834	481	2
141.026	482	2
141.319	483	2
141.488	484	2
141.78	485	2
142.003	486	2
142.22	487	2
142.469	488	2
142.72	489	2
142.902	490	2
143.125	491	2
143.322	492	2
143.477	493	2
143.778	494	2
144.021	495	2
144.17	496	2
144.412	497	2
144.598	498	2
144.86	499	2
145.045	500	2
145.318	501	2
145.476	502	2
145.761	503	2
145.916	504	2
146.081	505	2
146.339	506	2
146.567	507	2
146.878	508	2
147.167	509	2
147.319	510	2
147.497	511	2
147.743	512	2
147.92	513	2
148.206	514	2
148.409	515	2
148.69	516	2
148.906	517	2
149.057	518	2
149.284	519	2
149.488	520	2
149.746	521	2
150.009	522	2
150.197	523	2
150.409	524	2
150.706	525	2
150.968	526	2
151.138	527	2
151.415	528	2
151.581	529	2
151.827	530	2
152.047	531	2
152.275	532	2
152.617	533	2
152.779	534	2
153.065	535	2
153.228	536	2
153.462	537	2
153.732	538	2
153.932	539	2
154.167	540	2
154.429	541	2
154.672	542	2
154.938	543	2
155.208	544	2
155.464	545	2
155.76	546	2
156.069	547	2
156.373	548	2
156.597	549	2
156.747	550	2
156.951	551	2
157.195	552	2
157.487	553	2
157.692	554	2
157.915	555	2
158.119	556	2
158.373	557	2
158.677	558	2
158.89	559	2
159.12	560	2
159.402	561	2
159.603	562	2
159.857	563	2
160.058	564	2
160.188	565	2
160.393	566	2
160.616	567	2
160.778	568	2
161.013	569	2
161.279	570	2
161.433	571	2
161.669	572	2
161.925	573	2
162.067	574	2
162.36	575	2
162.568	576	2
162.796	577	2
163.056	578	2
163.368	579	2
163.568	580	2
163.814	581	2
164.107	582	2
164.315	583	2
164.619	584	2
164.778	585	2
165.024	586	2
165.221	587	2
165.4	588	2
165.595	589	2
165.857	590	2
166.107	591	2
166.254	592	2
166.504	593	2
